#OTU_IDs	16S_rRNA_Count
258525	9.0
2272651	1.0
192101	2.0
163928	6.0
4484687	4.0
4484930	5.0
4484937	4.0
4484936	4.0
4484935	6.0
4484934	6.0
582902	5.0
4342139	4.0
4484939	4.0
4484938	4.0
4484689	2.0
4484688	2.0
469488	3.0
4307368	4.0
262191	7.0
4479625	1.0
4436966	1.0
3808853	1.0
92037	1.0
2867020	3.0
2246754	8.0
4410174	1.0
4378647	3.0
1041484	4.0
356843	5.0
140390	2.0
4484587	5.0
3146165	1.0
846048	7.0
4484584	5.0
684249	3.0
382211	7.0
4484585	5.0
263911	2.0
263912	9.0
153551	3.0
129129	3.0
4479118	7.0
4484591	5.0
4484590	5.0
4484593	3.0
4484592	4.0
4484595	5.0
4484849	4.0
4484848	4.0
4484847	4.0
4484846	4.0
4484845	4.0
4484844	4.0
4484843	4.0
4484842	4.0
4484841	4.0
4484840	4.0
677921	3.0
2118299	6.0
305267	5.0
4338265	2.0
470997	4.0
150477	4.0
244416	2.0
908287	4.0
64683	1.0
686262	13.0
470805	4.0
470807	4.0
470806	5.0
470803	5.0
4325521	1.0
270740	9.0
2801645	1.0
140483	6.0
262739	6.0
3976970	3.0
154574	2.0
4423989	7.0
156873	1.0
140245	4.0
129124	4.0
150788	1.0
4485158	1.0
303702	2.0
293763	5.0
4485152	3.0
4485153	3.0
4485150	4.0
4485151	3.0
4485156	1.0
134663	5.0
4485154	6.0
4485155	1.0
1972977	6.0
study_179	3.0
study_178	4.0
study_177	2.0
study_176	4.0
study_175	4.0
study_174	2.0
study_173	4.0
study_172	6.0
study_171	2.0
study_170	4.0
269612	7.0
711042	3.0
4327604	4.0
4450729	11.0
study_41	2.0
256607	8.0
152417	3.0
141287	2.0
2609286	4.0
4463212	2.0
4403820	1.0
128998	2.0
3437016	2.0
160310	5.0
798151	2.0
268740	7.0
3935818	2.0
469800	5.0
836702	7.0
4485088	4.0
4485089	3.0
260178	9.0
251647	4.0
484365	5.0
4485081	1.0
610043	4.0
4485083	2.0
4485084	8.0
4485085	1.0
4485086	1.0
4408003	2.0
study_104	2.0
188893	3.0
369315	7.0
2540794	3.0
302952	3.0
129112	6.0
4485330	2.0
88136	1.0
4485337	10.0
129114	2.0
129115	13.0
129118	4.0
4485339	5.0
470744	4.0
922872	7.0
659157	5.0
268223	13.0
268225	13.0
651131	2.0
243287	11.0
469972	4.0
4355323	2.0
269869	6.0
4469333	3.0
141718	3.0
269863	7.0
800498	9.0
470741	4.0
565532	4.0
255315	3.0
132880	5.0
2836974	6.0
470230	2.0
4484624	5.0
470238	2.0
230309	6.0
269887	9.0
4368567	11.0
169692	2.0
229012	3.0
129029	2.0
129026	3.0
129027	10.0
4485424	9.0
