nodes	16S_rRNA_Count
'internal_node_2293'	1
'internal_node_2300'	3.1622225250988
'internal_node_2301'	3.50492417287636
'internal_node_2314'	2.88833623078218
'internal_node_2315'	3.33266098639461
'internal_node_2316'	3.11984914414879
'internal_node_2317'	2.48406131246098
'internal_node_2322'	4
'internal_node_2331'	3.52755886480869
'internal_node_2332'	3.76017447631624
'internal_node_2333'	4.45520398476365
'internal_node_2339'	3.2472793132457
'internal_node_2340'	3.39949944516951
'internal_node_2341'	3
'internal_node_2342'	3
'internal_node_2356'	3
'internal_node_2358'	3
'internal_node_2359'	3
'internal_node_2360'	3
'internal_node_2361'	3
'internal_node_2362'	3
'internal_node_2366'	3
'internal_node_2367'	3
'internal_node_2382'	3
'internal_node_2400'	2.15826951345932
'internal_node_2401'	1.71991682577329
'internal_node_2402'	1.49101501732777
'internal_node_2417'	2
'internal_node_2419'	2
'internal_node_2420'	2
'internal_node_2421'	2
'internal_node_2422'	2
'internal_node_2423'	2
'internal_node_2424'	2
'internal_node_2425'	2
'internal_node_2426'	2
'internal_node_2429'	2
'internal_node_2430'	2
'internal_node_2432'	2
'internal_node_2433'	2
'internal_node_2436'	2
'internal_node_2437'	2
'internal_node_2442'	2
'internal_node_2443'	2
'internal_node_2444'	2
'internal_node_2458'	2
'internal_node_2459'	2
'internal_node_2473'	2.57338560668578
'internal_node_2474'	3.08588633866487
'internal_node_2475'	4
'internal_node_2476'	4
'internal_node_2491'	2
'internal_node_2492'	2
'internal_node_2495'	2
'internal_node_2496'	2
'internal_node_2498'	2
'internal_node_2504'	1.89218073830047
'internal_node_2505'	1.86439963118731
'internal_node_2506'	2.13670223841299
'internal_node_2507'	1.68922759137478
'internal_node_2508'	2
'internal_node_2514'	2
'internal_node_2515'	2
'internal_node_2519'	1.2210504021338
'internal_node_2520'	1
'internal_node_2521'	1
'internal_node_2524'	1
'internal_node_2527'	1.46164579293974
'internal_node_2535'	1
'internal_node_2542'	1
'internal_node_2551'	1
'internal_node_2552'	1
'internal_node_2570'	2.51298490273825
'internal_node_2571'	2.88017458724271
'internal_node_2575'	1
'internal_node_2576'	1
'internal_node_2581'	2.07032367923371
'internal_node_2582'	2.0969624412401
'internal_node_2583'	1.78760304351285
'internal_node_2584'	1.77805522836345
'internal_node_2585'	2.03074924593338
'internal_node_2586'	2.06853110934974
